Mu	Sigma
intercept_muc_mu 	0	0.5
intercept_muc_sigma	0.1	5
slope_muc_mu	0	0.01
slope_muc_sigma	0.01	1
log_intercept_sigmac_mu	-2	 2
log_intercept_sigmac_sigma	0.1	5
log_slope_sigmac_mu	0	0.01
log_slope_sigmac_sigma	0.001	0.01


